双龙苑,http://nj.lianjia.com/ershoufang/103100728577.html,满五年 西边户 全明户型  带使用权地下车位 ,3室2厅,31656,280,88.45,高楼层/共6层,南,平层/精装,2009,,江宁,百家湖,近1号线胜太路站
金王府,http://nj.lianjia.com/ershoufang/103100771325.html,满两年  三开间朝南  精装修  河景房,2室2厅,28291,311,109.93,高楼层/共16层,南,平层/精装,2010,,江宁,百家湖,近1号线河定桥站
翠岛花城兰芷苑,http://nj.lianjia.com/ershoufang/103100600838.html,南部新城 翠岛花城 改善型大三房,3室2厅,34661,430,124.06,中楼层/共6层,南 北,平层/精装,2004,,雨花台,宁南,近1号线花神庙站
合班村122号,http://nj.lianjia.com/ershoufang/103101006967.html,迈皋桥 地铁口 双南一北三房 中间楼 居家装修,3室2厅,26410,236,89.36,低楼层/共6层,南 北,简装,2004,,栖霞,迈皋桥,近1号线迈皋桥站
亲水湾花园,http://nj.lianjia.com/ershoufang/103101038184.html,亲水湾花园 南北通透 两居室 双阳台 地铁 实验小学,2室2厅,28447,275,96.67,低楼层/共16层,南 北,平层/简装,2009,,江宁,百家湖,近1号线河定桥站
21世纪国际公寓,http://nj.lianjia.com/ershoufang/103100719088.html,商业配套完善 交通便利 婚装房 拎包入住,2室2厅,31080,280,90.09,中楼层/共26层,南 北,平层/精装,2011,,江宁,百家湖,近1号线小龙湾站
观城,http://nj.lianjia.com/ershoufang/103100486518.html,张府园地铁口旁 精装修酒店式公寓 ,1室0厅,40412,200,49.49,高楼层/共31层,西,平层/精装,2009,,秦淮,升州路,近1号线张府园站
怡湖华庭,http://nj.lianjia.com/ershoufang/103100966785.html,百家湖地段 配套齐全 交通快捷。。。,2室1厅,31170,255,81.81,低楼层/共27层,东 南,平层/精装,2009,,江宁,百家湖,近1号线百家湖站
南方花园B组团,http://nj.lianjia.com/ershoufang/103101115292.html,南方花园B组团 三房带大院子 装修好 南京南站交通方便,3室2厅,24997,249,99.61,低楼层/共7层,南 北,精装,2002,,江宁,岔路口,近1号线双龙大道站
融侨世家,http://nj.lianjia.com/ershoufang/103101039114.html,融侨世家2+1户型 可做三房 高楼层 采光充足,3室2厅,25892,230,88.83,高楼层/共18层,南,平层/精装,2011,,江宁,江宁大学城,近1号线龙眠大道站
